Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
Njal28,(3104),GM,MagnusCarlsen,(3265),GM,01,73.5 77.6,61,"Sep 10, 2023",3 min,N
MagnusCarlsen,(3260),GM,Njal28,(3109),GM,10,93.2 72.3,22,"Sep 10, 2023",3 min,N
Njal28,(3114),GM,MagnusCarlsen,(3255),GM,01,83 92.4,58,"Sep 10, 2023",3 min,N
LyonBeast,(3135),GM,Hikaru,(3351),GM,10,83.5 76.2,23,"Sep 20, 2023",1|1,N
Hikaru,(3364),GM,LyonBeast,(3122),GM,10,87.3 72.6,33,"Sep 20, 2023",1|1,N
LyonBeast,(3125),GM,Hikaru,(3361),GM,01,79.7 85.8,56,"Sep 20, 2023",1|1,N
Hikaru,(3358),GM,LyonBeast,(3128),GM,10,93.1 85.2,29,"Sep 20, 2023",1|1,N
LyonBeast,(3131),GM,Hikaru,(3355),GM,01,78.2 87.7,32,"Sep 20, 2023",1|1,N
Hikaru,(3351),GM,LyonBeast,(3135),GM,½½,92.1 92.4,137,"Sep 20, 2023",1|1,N
LyonBeast,(3130),GM,Hikaru,(3356),GM,½½,88.7 89,119,"Sep 20, 2023",1|1,N
Hikaru,(3361),GM,LyonBeast,(3125),GM,10,83.3 69.7,26,"Sep 20, 2023",1|1,N
LyonBeast,(3128),GM,Hikaru,(3358),GM,01,75.4 78.8,50,"Sep 20, 2023",1|1,N
Hikaru,(3354),GM,LyonBeast,(3132),GM,10,92.7 85.7,38,"Sep 20, 2023",1|1,N
LyonBeast,(3204),GM,Hikaru,(3224),GM,01,87.6 92.9,53,"Sep 20, 2023",3|1,N
Hikaru,(3216),GM,LyonBeast,(3212),GM,01,79.1 85.7,56,"Sep 20, 2023",3|1,N
LyonBeast,(3204),GM,Hikaru,(3224),GM,10,97 81,20,"Sep 20, 2023",3|1,N
Hikaru,(3233),GM,LyonBeast,(3195),GM,10,92 87.3,51,"Sep 20, 2023",3|1,N
LyonBeast,(3202),GM,Hikaru,(3226),GM,10,97.3 90.5,40,"Sep 20, 2023",3|1,N
Hikaru,(3235),GM,LyonBeast,(3193),GM,½½,82.2 76.8,46,"Sep 20, 2023",3|1,N
LyonBeast,(3192),GM,Hikaru,(3236),GM,10,97.8 88.5,35,"Sep 20, 2023",3|1,N
Hikaru,(3245),GM,LyonBeast,(3183),GM,01,92.9 96.6,42,"Sep 20, 2023",3|1,N
LyonBeast,(3173),GM,Hikaru,(3255),GM,01,84.5 89.2,51,"Sep 20, 2023",3|1,N
Hikaru,(3249),GM,LyonBeast,(3179),GM,10,89 84.4,61,"Sep 20, 2023",5|1,N
LyonBeast,(3186),GM,Hikaru,(3242),GM,01,79.9 87.5,26,"Sep 20, 2023",5|1,N
Hikaru,(3235),GM,LyonBeast,(3193),GM,10,95.8 79.9,21,"Sep 20, 2023",5|1,N
LyonBeast,(3200),GM,Hikaru,(3228),GM,½½,94.3 95.7,127,"Sep 20, 2023",5|1,N
Hikaru,(3229),GM,LyonBeast,(3199),GM,10,87.8 80.5,43,"Sep 20, 2023",5|1,N
LyonBeast,(3207),GM,Hikaru,(3221),GM,½½,95.1 95.1,36,"Sep 20, 2023",5|1,N
Hikaru,(3221),GM,LyonBeast,(3207),GM,01,87.8 93,48,"Sep 20, 2023",5|1,N
